#1_usercol 2_usercol 3_usercol 7.5
Pdest_CA_v0.1-4 240000 260000 0.50435
Pdest_CA_v0.1-4 250000 270000 0.49975
Pdest_CA_v0.1-4 260000 280000 0.50995
Pdest_CA_v0.1-4 270000 290000 0.51625
Pdest_CA_v0.1-4 280000 298309 0.51319
Pdest_CA_v0.1-5 0 20000 0.507407
Pdest_CA_v0.1-5 10000 30000 0.5127
Pdest_CA_v0.1-5 20000 40000 0.52055
Pdest_CA_v0.1-5 30000 50000 0.52275
Pdest_CA_v0.1-5 40000 60000 0.52265
Pdest_CA_v0.1-5 50000 70000 0.5218
Pdest_CA_v0.1-5 60000 80000 0.51855
Pdest_CA_v0.1-5 70000 90000 0.51615
Pdest_CA_v0.1-5 80000 100000 0.5146
Pdest_CA_v0.1-5 90000 110000 0.51885
Pdest_CA_v0.1-5 100000 120000 0.5211
Pdest_CA_v0.1-5 110000 130000 0.52005
Pdest_CA_v0.1-5 120000 140000 0.5192
Pdest_CA_v0.1-5 130000 150000 0.5254
Pdest_CA_v0.1-5 140000 160000 0.52395
Pdest_CA_v0.1-5 150000 170000 0.52425
Pdest_CA_v0.1-5 160000 180000 0.53765
Pdest_CA_v0.1-5 170000 190000 0.5075
Pdest_CA_v0.1-5 180000 200000 0.5005
Pdest_CA_v0.1-5 190000 210000 0.51245
Pdest_CA_v0.1-5 200000 220000 0.5084
Pdest_CA_v0.1-5 210000 230000 0.5038
Pdest_CA_v0.1-5 220000 240000 0.5068
Pdest_CA_v0.1-5 230000 250000 0.5145
Pdest_CA_v0.1-5 240000 260000 0.506
Pdest_CA_v0.1-5 250000 270000 0.4974
Pdest_CA_v0.1-5 260000 280000 0.48735
Pdest_CA_v0.1-5 270000 288370 0.503756
Pdest_CA_v0.1-6 0 20000 0.520771
Pdest_CA_v0.1-6 10000 30000 0.529479
Pdest_CA_v0.1-6 20000 40000 0.51495
Pdest_CA_v0.1-6 30000 50000 0.49845
Pdest_CA_v0.1-6 40000 60000 0.50845
Pdest_CA_v0.1-6 50000 70000 0.51745
Pdest_CA_v0.1-6 60000 80000 0.5175
Pdest_CA_v0.1-6 70000 90000 0.5171
Pdest_CA_v0.1-6 80000 100000 0.51165
Pdest_CA_v0.1-6 90000 110000 0.5154
Pdest_CA_v0.1-6 100000 120000 0.50495
Pdest_CA_v0.1-6 110000 130000 0.5075
Pdest_CA_v0.1-6 120000 140000 0.498749
Pdest_CA_v0.1-6 130000 150000 0.504555
Pdest_CA_v0.1-6 140000 160000 0.53955
Pdest_CA_v0.1-6 150000 170000 0.52755
Pdest_CA_v0.1-6 160000 180000 0.49295
Pdest_CA_v0.1-6 170000 190000 0.49095
Pdest_CA_v0.1-6 180000 200000 0.5094
Pdest_CA_v0.1-6 190000 210000 0.5099
Pdest_CA_v0.1-6 200000 220000 0.49725
Pdest_CA_v0.1-6 210000 230000 0.49495
Pdest_CA_v0.1-6 220000 240000 0.5055
Pdest_CA_v0.1-6 230000 247875 0.515972
Pdest_CA_v0.1-7 0 20000 0.53165
Pdest_CA_v0.1-7 10000 30000 0.51025
Pdest_CA_v0.1-7 20000 40000 0.50705
Pdest_CA_v0.1-7 30000 50000 0.5247
Pdest_CA_v0.1-7 40000 60000 0.518
Pdest_CA_v0.1-7 50000 70000 0.5171
Pdest_CA_v0.1-7 60000 80000 0.53455
Pdest_CA_v0.1-7 70000 90000 0.5389
Pdest_CA_v0.1-7 80000 100000 0.5244
Pdest_CA_v0.1-7 90000 110000 0.50945
Pdest_CA_v0.1-7 100000 120000 0.5135
Pdest_CA_v0.1-7 110000 130000 0.52255
Pdest_CA_v0.1-7 120000 140000 0.51785
Pdest_CA_v0.1-7 130000 150000 0.51805
Pdest_CA_v0.1-7 140000 160000 0.5213
Pdest_CA_v0.1-7 150000 170000 0.5166
Pdest_CA_v0.1-7 160000 180000 0.5184
Pdest_CA_v0.1-7 170000 190000 0.5255
Pdest_CA_v0.1-7 180000 200000 0.5179
Pdest_CA_v0.1-7 190000 210000 0.51125
Pdest_CA_v0.1-7 200000 220000 0.50635
Pdest_CA_v0.1-7 210000 230000 0.50355
Pdest_CA_v0.1-7 220000 240000 0.50975
Pdest_CA_v0.1-7 230000 242754 0.511212
Pdest_CA_v0.1-8 0 20000 0.52565
Pdest_CA_v0.1-8 10000 30000 0.52625
Pdest_CA_v0.1-8 20000 40000 0.51835
Pdest_CA_v0.1-8 30000 50000 0.52425
Pdest_CA_v0.1-8 40000 60000 0.51825
Pdest_CA_v0.1-8 50000 70000 0.51075
Pdest_CA_v0.1-8 60000 80000 0.50765
Pdest_CA_v0.1-8 70000 90000 0.50725
Pdest_CA_v0.1-8 80000 100000 0.51385
Pdest_CA_v0.1-8 90000 110000 0.51965
Pdest_CA_v0.1-8 100000 120000 0.5248
Pdest_CA_v0.1-8 110000 130000 0.52055
Pdest_CA_v0.1-8 120000 140000 0.50435
Pdest_CA_v0.1-8 130000 150000 0.4871
Pdest_CA_v0.1-8 140000 160000 0.50615
Pdest_CA_v0.1-8 150000 170000 0.53165
Pdest_CA_v0.1-8 160000 180000 0.52275
Pdest_CA_v0.1-8 170000 190000 0.52145
Pdest_CA_v0.1-8 180000 200000 0.51715
Pdest_CA_v0.1-8 190000 210000 0.4942
Pdest_CA_v0.1-8 200000 213852 0.495452
Pdest_CA_v0.1-9 0 20000 0.53165
Pdest_CA_v0.1-9 10000 30000 0.5381
Pdest_CA_v0.1-9 20000 40000 0.5308
Pdest_CA_v0.1-9 30000 50000 0.5218
Pdest_CA_v0.1-9 40000 60000 0.51995
Pdest_CA_v0.1-9 50000 70000 0.52965
Pdest_CA_v0.1-9 60000 80000 0.5347
Pdest_CA_v0.1-9 70000 90000 0.52805
Pdest_CA_v0.1-9 80000 100000 0.53195
Pdest_CA_v0.1-9 90000 110000 0.5253
Pdest_CA_v0.1-9 100000 120000 0.52455
Pdest_CA_v0.1-9 110000 130000 0.51905
Pdest_CA_v0.1-9 120000 140000 0.51615
Pdest_CA_v0.1-9 130000 150000 0.5248
Pdest_CA_v0.1-9 140000 160000 0.52005
Pdest_CA_v0.1-9 150000 170000 0.51855
Pdest_CA_v0.1-9 160000 180000 0.52945
Pdest_CA_v0.1-9 170000 190000 0.5233
Pdest_CA_v0.1-9 180000 200000 0.5141
Pdest_CA_v0.1-9 190000 210000 0.51345
Pdest_CA_v0.1-9 200000 210196 0.508729
Pdest_CA_v0.1-10 0 20000 0.52595
Pdest_CA_v0.1-10 10000 30000 0.50975
Pdest_CA_v0.1-10 20000 40000 0.498749
Pdest_CA_v0.1-10 30000 50000 0.49975
Pdest_CA_v0.1-10 40000 60000 0.4884
Pdest_CA_v0.1-10 50000 70000 0.4848
Pdest_CA_v0.1-10 60000 80000 0.5042
Pdest_CA_v0.1-10 70000 90000 0.50585
Pdest_CA_v0.1-10 80000 100000 0.5107
Pdest_CA_v0.1-10 90000 110000 0.52045
Pdest_CA_v0.1-10 100000 120000 0.5128
Pdest_CA_v0.1-10 110000 130000 0.50935
Pdest_CA_v0.1-10 120000 140000 0.5073
Pdest_CA_v0.1-10 130000 150000 0.50505
Pdest_CA_v0.1-10 140000 160000 0.5079
Pdest_CA_v0.1-10 150000 170000 0.526
Pdest_CA_v0.1-10 160000 180000 0.537538
Pdest_CA_v0.1-10 170000 190000 0.543894
Pdest_CA_v0.1-10 180000 200000 0.55325
Pdest_CA_v0.1-10 190000 209227 0.531908
Pdest_CA_v0.1-11 0 20000 0.5231
Pdest_CA_v0.1-11 10000 30000 0.5309
Pdest_CA_v0.1-11 20000 40000 0.53265
Pdest_CA_v0.1-11 30000 50000 0.5312
Pdest_CA_v0.1-11 40000 60000 0.52615
Pdest_CA_v0.1-11 50000 70000 0.5117
Pdest_CA_v0.1-11 60000 80000 0.5067
Pdest_CA_v0.1-11 70000 90000 0.50835
Pdest_CA_v0.1-11 80000 100000 0.5107
Pdest_CA_v0.1-11 90000 110000 0.5199
Pdest_CA_v0.1-11 100000 120000 0.509519
Pdest_CA_v0.1-11 110000 130000 0.496042
Pdest_CA_v0.1-11 120000 140000 0.5163
Pdest_CA_v0.1-11 130000 150000 0.54175
Pdest_CA_v0.1-11 140000 160000 0.526
Pdest_CA_v0.1-11 150000 170000 0.50915
Pdest_CA_v0.1-11 160000 180000 0.50715
Pdest_CA_v0.1-11 170000 190000 0.5065
Pdest_CA_v0.1-11 180000 200000 0.5082
Pdest_CA_v0.1-11 190000 203285 0.499511
Pdest_CA_v0.1-12 0 20000 0.49975
Pdest_CA_v0.1-12 10000 30000 0.492593
Pdest_CA_v0.1-12 20000 40000 0.506657
Pdest_CA_v0.1-12 30000 50000 0.517267
Pdest_CA_v0.1-12 40000 60000 0.516466
Pdest_CA_v0.1-12 50000 70000 0.5034
Pdest_CA_v0.1-12 60000 80000 0.49335
Pdest_CA_v0.1-12 70000 90000 0.50325
Pdest_CA_v0.1-12 80000 100000 0.5267
Pdest_CA_v0.1-12 90000 110000 0.53125
Pdest_CA_v0.1-12 100000 120000 0.5202
Pdest_CA_v0.1-12 110000 130000 0.50765
Pdest_CA_v0.1-12 120000 140000 0.51005
Pdest_CA_v0.1-12 130000 150000 0.52235
Pdest_CA_v0.1-12 140000 160000 0.5215
Pdest_CA_v0.1-12 150000 170000 0.5002
Pdest_CA_v0.1-12 160000 180000 0.49675
Pdest_CA_v0.1-12 170000 190000 0.50525
Pdest_CA_v0.1-12 180000 192178 0.503531
Pdest_CA_v0.1-13 0 20000 0.5131
Pdest_CA_v0.1-13 10000 30000 0.520921
Pdest_CA_v0.1-13 20000 40000 0.521421
Pdest_CA_v0.1-13 30000 50000 0.525
Pdest_CA_v0.1-13 40000 60000 0.52825
Pdest_CA_v0.1-13 50000 70000 0.5312
Pdest_CA_v0.1-13 60000 80000 0.527177
Pdest_CA_v0.1-13 70000 90000 0.509009
Pdest_CA_v0.1-13 80000 100000 0.5079
Pdest_CA_v0.1-13 90000 110000 0.52005
Pdest_CA_v0.1-13 100000 120000 0.518
Pdest_CA_v0.1-13 110000 130000 0.53145
Pdest_CA_v0.1-13 120000 140000 0.5352
Pdest_CA_v0.1-13 130000 150000 0.52155
Pdest_CA_v0.1-13 140000 160000 0.5156
Pdest_CA_v0.1-13 150000 168626 0.514619
Pdest_CA_v0.1-14 0 20000 0.5431
Pdest_CA_v0.1-14 10000 30000 0.53
Pdest_CA_v0.1-14 20000 40000 0.51515
Pdest_CA_v0.1-14 30000 50000 0.51195
Pdest_CA_v0.1-14 40000 60000 0.50835
Pdest_CA_v0.1-14 50000 70000 0.4998
Pdest_CA_v0.1-14 60000 80000 0.499249
Pdest_CA_v0.1-14 70000 90000 0.513714
Pdest_CA_v0.1-14 80000 100000 0.51795
Pdest_CA_v0.1-14 90000 110000 0.52105
Pdest_CA_v0.1-14 100000 120000 0.51335
Pdest_CA_v0.1-14 110000 130000 0.50805
Pdest_CA_v0.1-14 120000 140000 0.52185
Pdest_CA_v0.1-14 130000 150000 0.51935
Pdest_CA_v0.1-14 140000 160000 0.5096
Pdest_CA_v0.1-14 150000 167602 0.507215
Pdest_CA_v0.1-15 0 20000 0.5148
Pdest_CA_v0.1-15 10000 30000 0.4934
Pdest_CA_v0.1-15 20000 40000 0.4958
Pdest_CA_v0.1-15 30000 50000 0.510761
Pdest_CA_v0.1-15 40000 60000 0.507257
Pdest_CA_v0.1-15 50000 70000 0.5027
Pdest_CA_v0.1-15 60000 80000 0.5078
Pdest_CA_v0.1-15 70000 90000 0.51775
Pdest_CA_v0.1-15 80000 100000 0.5316
Pdest_CA_v0.1-15 90000 110000 0.5254
Pdest_CA_v0.1-15 100000 120000 0.5079
Pdest_CA_v0.1-15 110000 130000 0.50725
Pdest_CA_v0.1-15 120000 140000 0.51905
Pdest_CA_v0.1-15 130000 150000 0.5326
Pdest_CA_v0.1-15 140000 160000 0.518
Pdest_CA_v0.1-15 150000 160460 0.490535
Pdest_CA_v0.1-16 0 20000 0.53275
Pdest_CA_v0.1-16 10000 30000 0.53165
Pdest_CA_v0.1-16 20000 40000 0.53875
Pdest_CA_v0.1-16 30000 50000 0.5468
Pdest_CA_v0.1-16 40000 60000 0.5408
Pdest_CA_v0.1-16 50000 70000 0.52485
Pdest_CA_v0.1-16 60000 80000 0.5203
Pdest_CA_v0.1-16 70000 90000 0.5246
Pdest_CA_v0.1-16 80000 100000 0.5137
Pdest_CA_v0.1-16 90000 110000 0.51485
Pdest_CA_v0.1-16 100000 120000 0.5177
Pdest_CA_v0.1-16 110000 130000 0.51035
Pdest_CA_v0.1-16 120000 140000 0.51165
Pdest_CA_v0.1-16 130000 150000 0.50905
Pdest_CA_v0.1-16 140000 158006 0.507386
Pdest_CA_v0.1-17 0 20000 0.523647
Pdest_CA_v0.1-17 10000 30000 0.52805
Pdest_CA_v0.1-17 20000 40000 0.51955
Pdest_CA_v0.1-17 30000 50000 0.51375
Pdest_CA_v0.1-17 40000 60000 0.512
Pdest_CA_v0.1-17 50000 70000 0.51035
Pdest_CA_v0.1-17 60000 80000 0.5158
Pdest_CA_v0.1-17 70000 90000 0.53016
Pdest_CA_v0.1-17 80000 100000 0.534168
Pdest_CA_v0.1-17 90000 110000 0.5159
Pdest_CA_v0.1-17 100000 120000 0.4942
Pdest_CA_v0.1-17 110000 130000 0.49485
Pdest_CA_v0.1-17 120000 140000 0.493
Pdest_CA_v0.1-17 130000 150000 0.51155
Pdest_CA_v0.1-17 140000 152009 0.53718
Pdest_CA_v0.1-18 0 20000 0.51515
Pdest_CA_v0.1-18 10000 30000 0.4972
Pdest_CA_v0.1-18 20000 40000 0.494645
Pdest_CA_v0.1-18 30000 50000 0.525726
Pdest_CA_v0.1-18 40000 60000 0.54025
Pdest_CA_v0.1-18 50000 70000 0.5398
Pdest_CA_v0.1-18 60000 80000 0.52635
Pdest_CA_v0.1-18 70000 90000 0.5137
Pdest_CA_v0.1-18 80000 100000 0.50685
Pdest_CA_v0.1-18 90000 110000 0.51065
Pdest_CA_v0.1-18 100000 120000 0.51735
Pdest_CA_v0.1-18 110000 130000 0.5073
Pdest_CA_v0.1-18 120000 136310 0.493378
Pdest_CA_v0.1-19 0 20000 0.5227
Pdest_CA_v0.1-19 10000 30000 0.5324
Pdest_CA_v0.1-19 20000 40000 0.5308
Pdest_CA_v0.1-19 30000 50000 0.526043
Pdest_CA_v0.1-19 40000 60000 0.552482
Pdest_CA_v0.1-19 50000 70000 0.545108
Pdest_CA_v0.1-19 60000 80000 0.535085
Pdest_CA_v0.1-19 70000 90000 0.547247
Pdest_CA_v0.1-19 80000 100000 0.5377
Pdest_CA_v0.1-19 90000 110000 0.52895
Pdest_CA_v0.1-19 100000 120000 0.5356
Pdest_CA_v0.1-19 110000 130000 0.51915
Pdest_CA_v0.1-19 120000 134948 0.50582
Pdest_CA_v0.1-20 0 20000 0.5093
Pdest_CA_v0.1-20 10000 30000 0.5071
Pdest_CA_v0.1-20 20000 40000 0.51355
Pdest_CA_v0.1-20 30000 50000 0.52695
Pdest_CA_v0.1-20 40000 60000 0.53755
Pdest_CA_v0.1-20 50000 70000 0.52435
Pdest_CA_v0.1-20 60000 80000 0.5065
Pdest_CA_v0.1-20 70000 90000 0.50925
Pdest_CA_v0.1-20 80000 100000 0.52725
Pdest_CA_v0.1-20 90000 110000 0.51265
Pdest_CA_v0.1-20 100000 120000 0.50305
Pdest_CA_v0.1-20 110000 130000 0.52195
Pdest_CA_v0.1-20 120000 134498 0.529659
Pdest_CA_v0.1-21 0 20000 0.538839
Pdest_CA_v0.1-21 10000 30000 0.53435
Pdest_CA_v0.1-21 20000 40000 0.52825
Pdest_CA_v0.1-21 30000 50000 0.51965
Pdest_CA_v0.1-21 40000 60000 0.5292
Pdest_CA_v0.1-21 50000 70000 0.52525
Pdest_CA_v0.1-21 60000 80000 0.52635
Pdest_CA_v0.1-21 70000 90000 0.5276
Pdest_CA_v0.1-21 80000 100000 0.51475
Pdest_CA_v0.1-21 90000 110000 0.514
Pdest_CA_v0.1-21 100000 120000 0.5282
Pdest_CA_v0.1-21 110000 130000 0.5286
Pdest_CA_v0.1-21 120000 133488 0.524244
Pdest_CA_v0.1-22 0 20000 0.5131
Pdest_CA_v0.1-22 10000 30000 0.51225
Pdest_CA_v0.1-22 20000 40000 0.5056
Pdest_CA_v0.1-22 30000 50000 0.5121
Pdest_CA_v0.1-22 40000 60000 0.52705
Pdest_CA_v0.1-22 50000 70000 0.5214
Pdest_CA_v0.1-22 60000 80000 0.529
Pdest_CA_v0.1-22 70000 90000 0.52445
Pdest_CA_v0.1-22 80000 100000 0.5165
Pdest_CA_v0.1-22 90000 110000 0.52505
Pdest_CA_v0.1-22 100000 120000 0.516667
Pdest_CA_v0.1-22 110000 130000 0.5001
Pdest_CA_v0.1-22 120000 133224 0.486766
Pdest_CA_v0.1-23 0 20000 0.518468
Pdest_CA_v0.1-23 10000 30000 0.516567
Pdest_CA_v0.1-23 20000 40000 0.52385
Pdest_CA_v0.1-23 30000 50000 0.51775
Pdest_CA_v0.1-23 40000 60000 0.5271
Pdest_CA_v0.1-23 50000 70000 0.53145
Pdest_CA_v0.1-23 60000 80000 0.5249
Pdest_CA_v0.1-23 70000 90000 0.5242
Pdest_CA_v0.1-23 80000 100000 0.5248
Pdest_CA_v0.1-23 90000 110000 0.5147
Pdest_CA_v0.1-23 100000 120000 0.51985
Pdest_CA_v0.1-23 110000 125284 0.5352
Pdest_CA_v0.1-24 0 20000 0.51915
Pdest_CA_v0.1-24 10000 30000 0.5166
Pdest_CA_v0.1-24 20000 40000 0.50555
Pdest_CA_v0.1-24 30000 50000 0.51375
Pdest_CA_v0.1-24 40000 60000 0.5169
Pdest_CA_v0.1-24 50000 70000 0.50845
Pdest_CA_v0.1-24 60000 80000 0.51825
Pdest_CA_v0.1-24 70000 90000 0.5194
Pdest_CA_v0.1-24 80000 100000 0.5224
Pdest_CA_v0.1-24 90000 110000 0.5294
Pdest_CA_v0.1-24 100000 119601 0.531197
Pdest_CA_v0.1-25 0 20000 0.51345
Pdest_CA_v0.1-25 10000 30000 0.5156
Pdest_CA_v0.1-25 20000 40000 0.5196
Pdest_CA_v0.1-25 30000 50000 0.5138
Pdest_CA_v0.1-25 40000 60000 0.5208
Pdest_CA_v0.1-25 50000 70000 0.52395
Pdest_CA_v0.1-25 60000 80000 0.5186
Pdest_CA_v0.1-25 70000 90000 0.5118
Pdest_CA_v0.1-25 80000 100000 0.5139
Pdest_CA_v0.1-25 90000 110000 0.52175
Pdest_CA_v0.1-25 100000 117945 0.518752
Pdest_CA_v0.1-26 0 20000 0.51605
Pdest_CA_v0.1-26 10000 30000 0.51285
Pdest_CA_v0.1-26 20000 40000 0.51235
Pdest_CA_v0.1-26 30000 50000 0.526527
Pdest_CA_v0.1-26 40000 60000 0.535421
Pdest_CA_v0.1-26 50000 70000 0.526954
Pdest_CA_v0.1-26 60000 80000 0.531882
Pdest_CA_v0.1-26 70000 90000 0.5322
Pdest_CA_v0.1-26 80000 100000 0.52595
Pdest_CA_v0.1-26 90000 110000 0.52595
Pdest_CA_v0.1-26 100000 117080 0.528454
Pdest_CA_v0.1-27 0 20000 0.51825
Pdest_CA_v0.1-27 10000 30000 0.52605
Pdest_CA_v0.1-27 20000 40000 0.533634
Pdest_CA_v0.1-27 30000 50000 0.534719
Pdest_CA_v0.1-27 40000 60000 0.538338
Pdest_CA_v0.1-27 50000 70000 0.53215
Pdest_CA_v0.1-27 60000 80000 0.5258
Pdest_CA_v0.1-27 70000 90000 0.5265
Pdest_CA_v0.1-27 80000 100000 0.5279
Pdest_CA_v0.1-27 90000 110000 0.525
Pdest_CA_v0.1-27 100000 111562 0.517212
Pdest_CA_v0.1-28 0 20000 0.5195
Pdest_CA_v0.1-28 10000 30000 0.50825
Pdest_CA_v0.1-28 20000 40000 0.50895
Pdest_CA_v0.1-28 30000 50000 0.51985
Pdest_CA_v0.1-28 40000 60000 0.53055
Pdest_CA_v0.1-28 50000 70000 0.52135
Pdest_CA_v0.1-28 60000 80000 0.5074
Pdest_CA_v0.1-28 70000 90000 0.5178
Pdest_CA_v0.1-28 80000 100000 0.52985
Pdest_CA_v0.1-28 90000 108513 0.530492
Pdest_CA_v0.1-29 0 20000 0.4887
Pdest_CA_v0.1-29 10000 30000 0.4919
Pdest_CA_v0.1-29 20000 40000 0.50545
Pdest_CA_v0.1-29 30000 50000 0.49915
Pdest_CA_v0.1-29 40000 60000 0.509459
Pdest_CA_v0.1-29 50000 70000 0.530931
Pdest_CA_v0.1-29 60000 80000 0.51595
Pdest_CA_v0.1-29 70000 90000 0.50455
Pdest_CA_v0.1-29 80000 100000 0.509569
Pdest_CA_v0.1-29 90000 108247 0.508578
Pdest_CA_v0.1-30 0 20000 0.51135
Pdest_CA_v0.1-30 10000 30000 0.5154
Pdest_CA_v0.1-30 20000 40000 0.53125
Pdest_CA_v0.1-30 30000 50000 0.518468
Pdest_CA_v0.1-30 40000 60000 0.498448
Pdest_CA_v0.1-30 50000 70000 0.49795
Pdest_CA_v0.1-30 60000 80000 0.4961
Pdest_CA_v0.1-30 70000 90000 0.50105
Pdest_CA_v0.1-30 80000 93909 0.504781
Pdest_CA_v0.1-31 0 20000 0.51195
Pdest_CA_v0.1-31 10000 30000 0.52365
Pdest_CA_v0.1-31 20000 40000 0.54245
Pdest_CA_v0.1-31 30000 50000 0.5515
Pdest_CA_v0.1-31 40000 60000 0.53765
Pdest_CA_v0.1-31 50000 70000 0.51835
Pdest_CA_v0.1-31 60000 80000 0.51235
Pdest_CA_v0.1-31 70000 90000 0.50905
